geohash_6;viviendas_en_venta;precio_venta_medio;metros_cuadrados_promedio;renta_media_hogar;distancia_centro_Madrid_promedio;pois_comunitarios_g;pois_BigBusiness_G
ezjqq0;1;949000;290;55927;11290;0;0
ezjqmg;10;908500;137;56107;11475;0;0
ezjqnp;1;1040000;257;56230;10959;1;0
ezjmgr;54;1337518;148;56389;1831;42;3
ezjq7b;4;640000;131;56465;6614;12;0
ezjq7w;2;1174500;241;56594;10045;1;0
ezjqke;7;685000;121;56654;8981;2;0
ezjqm3;2;1245000;323;56686;9417;2;0
ezjq5b;132;1963128;187;56817;1857;62;19
ezjqnq;13;767454;190;57170;11188;5;0
ezjqjg;8;921749;219;57248;8682;13;0
ezjqne;4;268500;65;57426;11219;3;0
ezjq7t;3;826667;119;57816;9713;8;0
ezjqhd;6;609667;97;58370;4341;17;4
ezjq7f;1;400000;160;58473;7949;10;0
ezjqj9;9;449222;115;58527;7325;9;0
ezjqkt;2;547500;96;58814;10330;3;0
ezjqhe;11;986273;151;58875;4913;17;3
ezjq76;6;644167;109;58965;7923;8;0
ezjq7v;1;645000;103;59654;9983;3;0
ezjqj6;10;858200;184;59689;6785;8;0
ezjqkq;10;673200;114;60461;10574;2;0
ezjqkv;3;581667;114;60521;10621;2;0
ezjq70;16;1319625;347;60604;6931;11;0
ezjqhk;21;1003571;127;61097;4812;15;0
ezjq79;3;575000;122;61150;7260;11;0
ezjq7y;6;769500;125;61402;10269;4;0
ezjqku;12;670833;105;61783;10070;2;0
ezjqnh;1;820000;157;61891;10238;10;0
ezjqm9;6;999000;204;62105;10313;0;0
ezjq1f;10;947500;125;62235;7618;7;0
ezjqh7;61;1672821;191;62682;4377;25;5
ezjq1v;39;1597990;284;63559;8092;18;0
ezjq54;10;1897300;428;63828;3559;5;0
ezjq4g;2;625000;86;63828;4595;1;0
ezjq55;1;540000;75;63828;4049;10;0
ezjq45;3;913333;139;63829;7182;2;0
ezjq57;5;649800;109;63834;3585;8;0
ezjqme;1;880000;170;63943;11206;0;0
ezjqms;1;910000;159;64019;11771;0;0
ezjqhg;28;860386;133;64765;5609;17;12
ezjqnm;14;742857;204;65415;10805;5;0
ezjq56;17;1182197;166;66459;3162;27;0
ezjmuh;9;1187111;138;66504;1759;13;0
ezjq7k;2;712500;120;66623;9261;0;0
ezjqk3;3;584333;97;66925;7617;5;0
ezjq71;13;760000;212;68199;7504;16;0
ezjqk2;6;864500;115;68472;7002;8;6
ezjqhx;11;934273;131;68652;6560;11;0
ezjqkj;1;610000;100;68767;9465;1;0
ezjqht;27;1060686;153;68909;5863;21;0
ezjq7c;15;626727;104;68959;7316;6;0
ezjq6b;32;1184969;242;68960;7210;4;0
ezjqhm;64;1560077;172;69045;5313;29;8
ezjq5m;5;1680800;314;69184;5181;9;0
ezjq1m;2;915000;112;70089;9954;3;0
ezjqh1;132;1944170;164;72458;2681;38;24
ezjq1g;3;763000;149;72837;7678;4;0
ezjqnj;4;868500;200;73395;10236;3;0
ezjqkw;2;775000;237;73841;10821;4;0
ezjmuk;95;1699712;180;73853;2520;24;4
ezjqhu;10;1456500;271;74397;5854;10;0
ezjqhw;13;1251946;206;75389;6299;13;6
ezjq7s;9;1318444;195;76109;8964;4;3
ezjqhh;39;2205205;267;76295;4440;23;5
ezjq1s;18;1628667;401;76732;8840;5;0
ezjq5p;33;1786573;277;77132;6356;7;0
ezjqj5;4;2158000;465;77192;6118;12;5
ezjqj7;12;950250;149;77903;7175;2;4
ezjqhs;34;1122703;168;77924;5337;17;0
ezjqhn;16;1468250;209;78895;5548;24;8
ezjqmm;8;1220625;216;79690;11515;1;0
ezjqhj;23;1139348;163;80980;5055;29;13
ezjq6c;2;1975000;552;81042;7707;2;0
ezjq5n;3;1005667;204;81452;5821;3;0
ezjmuj;29;2425948;193;81589;1184;17;6
ezjqnn;2;1072500;223;81629;10779;1;0
ezjmup;462;2238553;179;81775;1853;51;38
ezjqjm;11;1329182;277;81945;7717;6;0
ezjqh4;33;2020515;223;82535;3443;27;8
ezjqjs;24;1027000;194;82964;8257;7;3
ezjmun;82;2765780;210;83101;1497;58;15
ezjqky;4;782750;133;83316;11104;0;0
ezjqhr;7;856714;152;83525;6459;10;4
ezjq1u;3;533000;129;83888;8154;3;0
ezjq4h;4;3825000;709;84054;6969;3;0
ezjq1w;3;1571667;350;84510;9219;6;0
ezjqmw;4;3395000;474;84512;12468;0;0
ezjq1y;21;2213333;433;84542;8990;7;0
ezjq1x;3;2500000;736;84859;9676;2;0
ezjqh0;350;2101001;180;85062;2490;52;27
ezjq4j;8;1853125;456;85116;7776;4;0
ezjqhq;6;2090333;236;85150;5791;28;4
ezjq7d;8;745000;176;86085;7653;15;0
ezjq1t;14;1261429;189;87371;9142;1;0
ezjqjh;37;2319851;402;87822;6910;9;0
ezjq5j;1;1250000;350;88267;5416;1;0
ezjqmq;2;1365000;185;88548;11920;2;0
ezjq1q;1;410000;69;88574;10166;1;10
ezjqh5;40;1403745;199;88639;3934;52;7
ezjq7e;1;1850000;256;88775;8250;6;0
ezjq4n;26;624832;109;88953;7843;2;0
ezjqju;12;1014833;211;88961;8788;4;0
ezjqjk;6;2136667;379;89015;7416;5;0
ezjq4r;2;2341500;535;89015;8022;1;0
ezjq4x;3;1931667;638;89015;7249;0;0
ezjq1p;8;1871160;514;89015;11398;6;0
ezjq0z;38;1765261;424;89015;12234;6;0
ezjq30;7;3450000;850;89015;11901;1;0
ezjq68;5;2109000;516;89015;7399;1;0
ezjq2b;5;2606000;641;89015;12609;1;0
ezjq1z;10;1495500;214;89015;9070;0;0
ezjq4q;10;1859200;331;89015;7657;1;0
ezjq4k;1;1450000;292;89015;6555;2;0
ezjq4m;1;3650000;754;89015;7011;3;0
ezjqmj;8;1848750;310;89015;11110;1;0
ezjqmn;16;1665000;249;89015;11632;1;0
ezjqmh;8;1523750;259;89015;10646;0;0
ezjqmd;1;1055000;181;66096;10603;0;0
