geohash_6;viviendas_en_venta;precio_venta_medio;metros_cuadrados_promedio;renta_media_hogar;distancia_centro_Madrid_promedio;pois_comunitarios_g;pois_BigBusiness_G
ezjt2j;1;475000;117;44898;18856;0;0
ezjmzy;9;367242;169;44909;15270;4;0
ezjm9w;14;437136;94;44949;8466;2;0
ezjnj2;2;820000;317;45007;23645;0;0
ezjmyp;5;483400;68;45123;8742;3;0
ezjp7f;1;457000;148;45233;39626;1;0
ezjrpu;3;354300;251;45298;28309;2;0
ezjrp4;1;195000;108;45298;25340;0;0
ezjrpg;1;449000;240;45298;27598;0;0
ezjnh9;1;360000;398;45321;26109;0;0
ezjmyn;1;649000;90;45327;8608;2;0
ezjr52;1;470000;95;45340;21481;0;0
ezjphp;1;625000;370;45382;37882;1;0
ezjw7k;6;388733;178;45407;29688;12;0
ezjm6p;8;321563;101;45468;10735;6;0
ezjnjh;1;189000;100;45503;25028;3;0
ezjm4w;2;526506;130;45577;14688;12;0
ezjjx5;4;1294950;229;45611;18255;10;0
ezjr60;3;716667;509;45677;26883;2;0
ezjqvf;4;805750;184;45708;19352;0;0
ezjq12;4;544975;109;45747;9087;8;0
ezjwbp;4;411223;168;45774;26248;5;0
ezjrf1;2;1035000;365;45795;37188;2;0
ezjr67;2;476000;134;45797;28553;1;0
ezjpmw;1;460000;170;45802;37580;1;0
ezjrf4;1;549000;355;45816;37546;0;0
ezjqjd;12;455567;119;45828;7692;6;0
ezjqvc;3;320000;101;45829;19034;3;0
ezjjns;6;609767;339;45839;24323;1;0
ezjw7w;16;400908;165;45854;31053;6;0
ezjmx6;4;556725;187;45875;15414;7;0
ezjn5r;1;380000;150;45901;31847;0;0
ezjn5p;1;490000;360;45901;32865;0;0
ezjn5q;1;510000;230;45901;31475;0;0
ezjn5n;4;801250;332;45901;32676;0;0
ezjn4z;1;585000;320;45901;33428;0;0
ezjnsq;1;494900;210;46115;30978;0;0
ezjqrs;2;877500;248;46219;17171;0;0
ezjm3u;6;404498;178;46271;12286;2;0
ezjm7j;4;404625;126;46359;10176;0;0
ezjw7g;4;390725;140;46504;31427;1;0
ezjmxb;6;534667;140;46527;17334;3;0
ezjw0f;2;320000;105;46536;19763;4;0
ezjjx1;1;495000;202;46577;18217;3;0
ezjqrw;1;299900;127;46731;17680;2;0
ezjw7v;7;322857;89;46782;31747;2;0
ezjqh6;95;1162741;128;46787;3838;48;7
ezjqnf;11;351763;125;46816;11948;1;0
ezjpk2;2;618750;215;46831;37668;2;0
ezjnmf;6;432483;85;46912;23272;11;0
ezjr58;4;442975;140;46915;21291;6;0
ezjqnk;6;349833;70;46940;10629;10;0
ezjq5q;14;567286;112;46951;5545;22;0
ezjw7t;1;495000;144;46986;30558;3;0
ezjmb9;6;481914;129;47010;12159;0;0
ezjm2w;5;462400;102;47015;14952;5;0
ezjp7b;4;726000;334;47025;39163;2;0
ezjw7h;3;286667;180;47060;29031;7;0
ezjqty;5;202200;58;47064;16821;0;0
ezjqtp;5;501400;127;47071;16593;6;0
ezjmxs;7;854535;281;47073;15466;7;0
ezjw2m;1;249999;90;47094;19504;0;0
ezjwb1;21;430615;146;47104;23586;5;0
ezjpj5;1;550000;152;47124;33565;2;0
ezjqrk;1;348000;72;47300;16209;2;0
ezjp79;4;722000;363;47389;40473;1;0
ezjw16;4;913500;132;47404;20758;6;0
ezjqts;16;530244;135;47405;15614;3;0
ezjr65;3;705000;338;47465;28640;11;0
ezjnye;1;1050000;415;47523;26641;5;0
ezjnme;2;442450;211;47530;23864;0;0
ezjw7z;1;270000;70;47671;32398;0;0
ezjqtv;5;330000;80;47712;16274;3;0
ezjqrv;7;575143;210;47759;18333;5;0
ezm2jc;4;743750;376;47817;42216;1;0
ezm2je;1;340000;190;47817;42969;4;0
ezm2n5;1;600000;357;47817;43421;0;0
ezm2jf;1;575000;400;47817;43011;0;0
ezjphr;1;310000;160;47818;37382;1;0
ezjnms;1;685000;241;47849;24258;2;0
ezjmbc;4;252500;110;47964;11337;0;0
ezjmbb;1;320000;180;47964;11410;0;0
ezjqx2;7;589143;298;48111;18103;0;0
ezjqx6;7;429129;202;48111;18556;1;0
ezjqx3;2;542500;330;48111;18327;0;0
ezjqz0;1;400000;299;48111;20733;1;0
ezjqx9;3;475000;283;48111;18569;0;0
ezjqrr;1;650000;240;48111;17662;0;0
ezjnvs;1;500000;420;48132;29385;1;0
ezjw2h;2;432500;106;48185;18758;1;0
ezjwbn;1;495000;220;48214;26126;2;0
ezjmvk;2;445000;127;48231;6008;6;0
ezjqn5;34;1125091;127;48307;9315;6;0
ezjqkd;13;788769;131;48350;8345;15;9
ezjqhv;16;896125;140;48440;6434;13;0
ezjrmt;10;430400;152;48444;29969;12;0
ezjnyd;4;368500;94;48473;25799;7;0
ezjqkm;17;763347;131;48584;10123;6;0
ezjw2j;15;627533;201;48600;18808;1;0
ezjjx3;2;379900;86;48603;17343;3;0
ezjqh2;104;1394855;119;48632;2814;45;9
ezjjwg;1;822000;200;48651;18634;4;0
ezjnmu;8;570000;98;48680;23480;3;0
ezjny7;4;1341250;308;48748;26817;4;0
ezjnhf;16;327646;77;48798;25493;7;0
ezjqry;3;612967;252;48849;18853;0;0
ezjnq7;1;1180000;470;48862;21891;0;0
ezjnq4;1;950000;410;48862;21837;1;0
ezjq5f;32;1075271;116;48992;2928;32;16
ezjmx7;1;669900;228;49043;15178;7;0
ezjqst;3;771667;150;49065;14823;3;0
ezjq52;109;1397339;231;49068;2191;24;0
ezjmxk;6;635817;254;49205;14692;5;0
ezjrcv;5;915800;133;49254;39301;0;0
ezjw69;2;664500;146;49300;27071;3;0
ezjmym;1;334332;83;49343;10209;0;0
ezjm4t;3;599633;232;49392;15236;5;0
ezjr53;4;391250;89;49497;21869;1;0
ezjr56;3;670333;95;49512;22307;0;0
ezjpjx;1;440000;198;49561;34339;0;0
ezjqkk;4;675250;98;49641;9538;4;3
ezjmxg;2;849500;144;49664;16817;2;0
ezjr3f;4;389725;175;49694;27864;0;0
ezjmgd;16;545425;96;49709;1915;19;0
ezjmur;283;1536250;141;49758;2604;45;8
ezjm4x;2;522500;265;49800;14132;7;0
ezjnq1;4;638725;224;49818;21870;0;0
ezjmum;80;1024140;110;49922;2477;13;0
ezjr3b;4;483500;107;50016;26877;4;0
ezjmu0;11;575909;87;50047;3404;11;0
ezjqsf;2;940000;158;50064;13471;2;0
ezjwb2;3;414000;126;50118;23624;2;0
ezjjze;3;518267;139;50125;15034;17;0
ezjqkn;1;110200;64;50134;10259;2;0
ezjqm1;6;240040;73;50187;9372;1;0
ezjqm2;3;1031667;320;50297;9238;7;12
ezjpt9;1;425000;96;50317;38538;1;0
ezjqk9;9;855556;138;50408;7910;11;3
ezjnxq;20;685160;216;50417;22233;5;0
ezjrp2;12;846717;464;50443;25358;0;0
ezjq74;5;1446000;315;50469;8258;2;0
ezjpmx;6;554692;149;50504;37962;1;0
ezjnry;5;1045780;213;50598;17906;0;0
ezjnmt;1;649900;257;50707;24244;0;0
ezjw2n;1;665000;214;50749;18840;0;0
ezjmxf;7;650570;228;50777;17071;1;0
ezjqj4;47;782057;143;50817;5806;15;0
ezjnhc;4;587684;219;50840;25644;1;0
ezjq9c;4;1396000;388;50919;13792;0;0
ezjnvh;3;737967;342;50939;31147;1;0
ezjqh9;51;869547;135;51056;3865;10;0
ezjmsp;3;519667;93;51116;3944;3;0
ezjnvj;1;599900;200;51218;31366;1;0
ezjnvq;5;1557980;430;51284;30980;0;0
ezjnvm;2;580000;251;51325;30751;1;0
ezjmuw;54;1298142;136;51334;3311;17;4
ezjmxt;17;681529;230;51337;15446;6;0
ezjq7u;1;290000;65;51350;9372;10;0
ezjrmy;1;475000;136;51575;31092;2;0
ezjmus;10;588000;149;51641;3283;16;0
ezjpmc;11;679160;310;51914;34319;0;0
ezjpmb;4;917000;494;51914;34155;0;0
ezjpjz;1;460000;305;51914;33762;1;0
ezjq5c;98;1354718;139;51939;2395;37;12
ezjq5k;6;1142333;239;51939;4410;11;0
ezjwb3;4;639500;308;52052;24006;4;0
ezjqnd;14;541064;160;52102;11432;6;0
ezjnj5;1;730000;340;52202;24944;4;0
ezjmu1;3;889967;117;52215;2827;10;0
ezjjx6;8;1118113;466;52230;17601;7;0
ezjqhp;24;1838229;152;52250;6175;16;0
ezjmxy;2;915000;270;52304;15898;0;0
ezjr69;1;390000;235;52347;27129;1;0
ezjr6j;18;519378;199;52347;29721;2;0
ezjr6d;1;410000;141;52347;27515;0;0
ezjrnh;1;1450000;670;52347;25566;0;0
ezjmxd;27;581848;197;52519;16214;0;0
ezjq5d;38;1280581;182;52641;3079;26;0
ezjmgz;106;1213962;163;52755;1174;76;12
ezjq53;42;1162786;176;52766;2437;19;0
ezjnxw;2;696500;253;52804;21656;4;0
ezjw7f;6;351667;148;52859;31357;17;0
ezjnrb;1;815000;213;52872;15618;12;0
ezjmzn;3;553000;261;52951;12505;10;0
ezjwb6;4;1145000;444;53083;24467;0;0
ezjm62;1;635000;214;53094;13953;0;0
ezjjxu;1;950000;560;53116;15608;0;0
ezjm69;1;560000;224;53186;12927;0;0
ezjqkg;16;608250;117;53234;9401;6;0
ezjmuq;159;1284483;124;53290;2508;27;4
ezjnnu;1;1850000;563;53357;18144;0;0
ezjnnv;18;958850;340;53357;18336;0;0
ezjr4p;8;507125;190;53364;26506;2;0
ezjq11;14;814625;202;53420;9786;12;0
ezjqgr;1;275000;80;53518;20649;3;4
ezjqru;6;789100;343;53548;17864;0;0
ezjr57;2;594000;112;53571;22940;0;0
ezjr5e;4;752425;257;53571;23015;0;0
ezjmut;7;575571;105;53708;3153;13;0
ezjmzj;3;523333;231;53863;12610;3;0
ezjqje;3;1133333;297;53952;7916;8;0
ezjjxh;2;850000;244;53978;18474;0;0
ezjnph;2;1382500;406;54149;17685;0;0
ezjq77;18;1285583;238;54368;8320;13;0
ezjqm6;1;1375000;325;54482;9527;0;0
ezjmxe;6;683167;237;54486;15912;5;0
ezjq75;4;1306750;184;54555;8620;0;0
ezjqjj;25;1204800;231;54774;7051;8;0
ezjmxv;1;570000;180;55070;15856;0;0
ezjr5d;1;717000;195;55238;22498;0;0
ezjqmf;3;930943;183;55284;11540;0;0
ezjjxg;4;798725;324;55335;15669;2;0
ezjnvg;1;750000;243;55349;28134;1;0
ezjnvr;3;439633;180;55458;31478;0;0
ezjnx9;11;735000;211;55621;19469;0;0
ezjjxd;1;654900;207;55642;16411;5;0
ezjpn9;3;486333;145;55684;29028;0;0
ezjnpy;2;677450;160;55761;15438;6;0
ezjqq0;1;949000;290;55927;11290;0;0
ezjq24;7;957843;284;56062;15528;6;0
ezjqmg;10;908500;137;56107;11475;0;0
ezjqnp;1;1040000;257;56230;10959;1;0
ezjmgr;54;1337518;148;56389;1831;42;3
ezjmxc;7;690429;232;56454;17083;3;0
ezjq7b;4;640000;131;56465;6614;12;0
ezjqsv;1;116600;140;56519;15182;16;0
ezjnvf;4;1404750;546;56533;27690;2;0
ezjq7w;2;1174500;241;56594;10045;1;0
ezjqke;7;685000;121;56654;8981;2;0
ezjqm3;2;1245000;323;56686;9417;2;0
ezjnpg;1;819000;250;56706;14845;4;0
ezjq5b;132;1963128;187;56817;1857;62;19
ezjrmv;2;520000;223;57119;29983;1;0
ezjqnq;13;767454;190;57170;11188;5;0
ezjqjg;8;921749;219;57248;8682;13;0
ezjnrd;7;677143;108;57282;16884;10;0
ezjq05;1;730000;135;57332;13721;8;3
ezjqne;4;268500;65;57426;11219;3;0
ezjr3u;3;820000;397;57540;29127;4;0
ezjqsc;2;588000;214;57555;12733;2;0
ezjq13;2;1045000;203;57599;8735;8;0
ezjq7t;3;826667;119;57816;9713;8;0
ezjrmw;1;665000;215;58058;30512;3;0
ezjqhd;6;609667;97;58370;4341;17;4
ezjjvw;7;1537143;563;58465;22494;1;0
ezjq7f;1;400000;160;58473;7949;10;0
ezjqj9;9;449222;115;58527;7325;9;0
ezjqkt;2;547500;96;58814;10330;3;0
ezjjzs;2;1233500;301;58864;15244;10;0
ezjqhe;11;986273;151;58875;4913;17;3
ezjq76;6;644167;109;58965;7923;8;0
ezjjz6;2;850000;211;59340;16465;4;0
ezjq7v;1;645000;103;59654;9983;3;0
ezjqj6;10;858200;184;59689;6785;8;0
ezjjxf;4;1057475;434;59756;15924;2;0
ezjw7s;2;277053;100;59911;31073;5;0
ezjjz7;3;768333;201;60242;16385;7;0
ezjnpf;3;833000;177;60258;14690;5;0
ezjjxs;1;850000;258;60288;16076;1;0
ezjqkq;10;673200;114;60461;10574;2;0
ezjqkv;3;581667;114;60521;10621;2;0
ezjjz4;3;837333;210;60535;16904;0;0
ezjq70;16;1319625;347;60604;6931;11;0
ezjq10;4;1380750;264;60643;9579;14;0
ezjjzk;2;727000;158;60651;16429;7;0
ezjqhk;21;1003571;127;61097;4812;15;0
ezjq79;3;575000;122;61150;7260;11;0
ezjq1e;30;1741500;431;61249;8831;12;0
ezjq7y;6;769500;125;61402;10269;4;0
ezjjxe;3;748333;182;61770;16453;0;0
ezjqku;12;670833;105;61783;10070;2;0
ezjwk4;178;356885;177;61797;31946;1;0
ezjqnh;1;820000;157;61891;10238;10;0
ezjqm9;6;999000;204;62105;10313;0;0
ezjq1f;10;947500;125;62235;7618;7;0
ezjqgw;11;619991;135;62305;20125;5;0
ezjnj1;2;527450;262;62334;24829;0;0
ezjqsu;9;1064322;165;62394;14546;11;0
ezjrq0;1;1490000;405;62533;27372;0;0
ezjnrq;5;458800;115;62618;19177;0;0
ezjnx2;2;520000;141;62637;19839;7;0
ezjnj0;1;699900;170;62655;24811;0;0
ezjqh7;61;1672821;191;62682;4377;25;5
ezjnx6;1;749000;250;62711;20853;0;0
ezjnxr;3;376600;169;62842;22686;3;0
ezjnyn;1;850000;385;63345;28873;1;0
ezjq1v;39;1597990;284;63559;8092;18;0
ezjjy2;2;1444750;507;63575;19939;0;0
ezjq54;10;1897300;428;63828;3559;5;0
ezjq4g;2;625000;86;63828;4595;1;0
ezjq55;1;540000;75;63828;4049;10;0
ezjq45;3;913333;139;63829;7182;2;0
ezjq57;5;649800;109;63834;3585;8;0
ezjqme;1;880000;170;63943;11206;0;0
ezjnxx;1;469000;64;63988;22324;0;0
ezjw7u;10;434730;150;63998;31504;1;0
ezjqms;1;910000;159;64019;11771;0;0
ezjnz2;3;891667;577;64056;23055;4;0
ezjqgt;1;1140000;395;64085;19674;2;0
ezjnrp;2;815000;218;64088;20497;1;0
ezjjwr;2;717500;234;64133;19816;0;0
ezjjvv;1;1200000;550;64140;22038;0;0
ezjnx3;6;682500;156;64162;20231;2;0
ezjjy8;11;1093982;361;64209;19117;2;0
ezjjy9;5;963000;423;64229;18946;1;0
ezjnvw;1;595000;200;64258;29888;0;0
ezjjwx;4;867225;368;64400;19260;1;0
ezjjyf;1;1150000;494;64655;18526;1;0
ezjnvv;3;792900;299;64696;29302;0;0
ezjnvy;3;836333;423;64696;29670;3;0
ezjqhg;28;860386;133;64765;5609;17;12
ezjjwv;3;1818000;537;64809;18865;2;0
ezjjyc;5;981980;387;64838;18321;0;0
ezjjwt;3;1039933;369;64870;19812;3;0
ezjjwq;2;605000;184;64907;20214;1;0
ezjjws;2;732500;275;64907;19994;0;0
ezjjzd;9;841100;342;65059;15504;1;0
ezjqnm;14;742857;204;65415;10805;5;0
ezjnr8;1;688000;180;65625;16146;5;0
ezjrnk;11;1700864;468;65636;25658;4;0
ezjq56;17;1182197;166;66459;3162;27;0
ezjmuh;9;1187111;138;66504;1759;13;0
ezjnyb;1;775000;343;66601;24316;1;0
ezjq7k;2;712500;120;66623;9261;0;0
ezjx14;1;450000;244;66791;29917;0;0
ezjrmb;2;1395000;492;66870;27277;0;0
ezjqk3;3;584333;97;66925;7617;5;0
ezjnz0;1;749000;250;67123;23574;2;0
ezjnrt;2;1220000;376;67235;17969;3;0
ezjx11;1;500000;167;67258;29649;1;0
ezjnrc;1;950000;365;67490;15558;6;0
ezjnxn;6;871567;294;67500;22778;5;0
ezjnp5;1;2075000;635;67803;17197;0;0
ezjr3g;1;650000;299;67849;28426;4;0
ezjqmy;12;1556917;215;68009;12851;4;0
ezjnr6;1;675000;268;68080;17784;1;0
ezjq71;13;760000;212;68199;7504;16;0
ezjqk2;6;864500;115;68472;7002;8;6
ezjqhx;11;934273;131;68652;6560;11;0
ezjqkj;1;610000;100;68767;9465;1;0
ezjq18;1;950000;134;68839;8227;3;0
ezjqht;27;1060686;153;68909;5863;21;0
ezjq7c;15;626727;104;68959;7316;6;0
ezjq6b;32;1184969;242;68960;7210;4;0
ezjqtd;2;2890000;516;69008;14473;0;3
ezjqhm;64;1560077;172;69045;5313;29;8
ezjq5m;5;1680800;314;69184;5181;9;0
ezjw0p;3;739500;97;69237;17234;1;0
ezjnw8;7;822814;190;69388;22068;1;0
ezjq25;5;1048800;114;69396;16117;5;0
ezjq2h;2;977000;449;69474;16259;1;0
ezjw20;2;1342500;447;69490;17377;0;0
ezjnx4;29;1644346;592;69523;21563;3;0
ezjny4;20;1318600;404;69743;27506;6;0
ezjnqz;12;1161250;398;69825;21329;5;0
ezjrn2;3;1050333;188;69883;23663;3;0
ezjrn8;1;660000;222;69883;23701;1;0
ezjrn5;4;1928750;618;69948;24469;3;0
ezjq1m;2;915000;112;70089;9954;3;0
ezjnzd;2;822500;323;70114;23512;1;0
ezjnze;1;659000;353;70114;23738;0;0
ezjnz6;3;997333;467;70142;23694;0;0
ezjnpk;4;1519000;411;70155;16505;0;0
ezjrm8;1;850000;287;70172;27060;0;0
ezjmf5;10;1460000;304;70314;6391;2;0
ezjq21;12;1330750;257;70413;15315;5;0
ezjq0h;4;780950;168;70616;14376;2;0
ezjjzj;7;801414;191;70821;17269;1;0
ezjmcg;5;941680;128;71246;7259;9;0
ezjny6;14;1107407;295;71504;26456;2;0
ezjjzn;3;1266333;336;71511;17133;4;0
ezjq28;1;719900;201;71703;13226;1;0
ezjq22;19;1248684;402;72224;13932;0;0
ezjqh1;132;1944170;164;72458;2681;38;24
ezjq16;9;1146912;286;72545;9042;11;0
ezjny0;2;1160000;358;72827;26420;0;0
ezjq1g;3;763000;149;72837;7678;4;0
ezjnyf;2;1042500;310;73160;25384;0;0
ezjqgz;1;580000;164;73207;20647;2;0
ezjnyh;1;750000;750;73328;28130;2;0
ezjqnj;4;868500;200;73395;10236;3;0
ezjnz4;2;766000;335;73555;24466;0;0
ezjqkw;2;775000;237;73841;10821;4;0
ezjmuk;95;1699712;180;73853;2520;24;4
ezjnyg;1;1495000;810;73936;26077;0;0
ezjmcu;1;790000;136;74294;6869;4;3
ezjqgy;2;739000;299;74297;19897;0;0
ezjqhu;10;1456500;271;74397;5854;10;0
ezjny1;2;753000;471;74654;26705;0;0
ezjnx7;1;719500;250;74658;20546;6;0
ezjjyy;11;943627;306;74856;18090;0;0
ezjjzm;13;745915;185;75000;16253;3;0
ezjjyz;8;1068950;348;75099;18347;1;0
ezjnnb;9;2199889;573;75099;18087;2;0
ezjqhw;13;1251946;206;75389;6299;13;6
ezjmcf;1;820000;162;75458;7237;2;0
ezjnx0;1;978000;245;75761;20819;3;0
ezjnr9;1;890000;285;75834;16536;0;0
ezjq1k;4;714750;185;75959;9665;2;0
ezjq7s;9;1318444;195;76109;8964;4;3
ezjnyj;3;945000;432;76288;28498;2;0
ezjqhh;39;2205205;267;76295;4440;23;5
ezjjyv;8;843738;284;76308;17918;0;0
ezjnx1;1;1480000;454;76414;20829;0;0
ezjjzh;10;807490;221;76664;17204;0;0
ezjq1s;18;1628667;401;76732;8840;5;0
ezjnwc;2;695000;241;76914;21307;4;0
ezjnys;6;1027500;301;76978;26649;2;0
ezjny3;14;1127536;427;77119;26153;0;0
ezjq5p;33;1786573;277;77132;6356;7;0
ezjqj5;4;2158000;465;77192;6118;12;5
ezjnr3;2;825000;292;77193;17285;0;0
ezjnyu;1;1340000;329;77208;26443;1;0
ezjnnc;3;1480000;358;77338;18380;0;0
ezjmc7;11;1813636;154;77399;8845;2;0
ezjqj7;12;950250;149;77903;7175;2;4
ezjqhs;34;1122703;168;77924;5337;17;0
ezjq19;6;1338983;246;78352;8008;13;0
ezjnrm;6;461667;107;78843;18549;6;0
ezjqhn;16;1468250;209;78895;5548;24;8
ezjnrn;4;1003500;515;78977;19943;0;0
ezjq17;10;1424400;301;79058;9404;13;0
ezjnwb;4;1900000;141;79063;21605;4;0
ezjmbv;1;1150000;458;79548;10755;0;0
ezjqmm;8;1220625;216;79690;11515;1;0
ezjmbt;8;2013750;541;79987;11517;2;0
ezjq20;3;1099333;294;80200;14877;7;0
ezjjzq;3;552200;180;80683;16169;3;0
ezjqhj;23;1139348;163;80980;5055;29;13
ezjqt4;7;943060;155;81007;13701;2;13
ezjq6c;2;1975000;552;81042;7707;2;0
ezjjzt;3;990000;175;81096;15179;1;0
ezjq5n;3;1005667;204;81452;5821;3;0
ezjnq3;5;1471000;575;81468;21158;0;0
ezjnnf;6;2588967;797;81477;17805;0;0
ezjnrs;3;916667;197;81480;17500;3;0
ezjmuj;29;2425948;193;81589;1184;17;6
ezjqnn;2;1072500;223;81629;10779;1;0
ezjmbw;1;1700000;702;81641;11587;4;0
ezjmup;462;2238553;179;81775;1853;51;38
ezjqjm;11;1329182;277;81945;7717;6;0
ezjnw9;2;1307500;389;81990;22409;1;0
ezjr5b;2;810000;295;82081;21340;2;0
ezjq0n;4;796175;251;82167;14462;3;0
ezjqkz;2;1162000;163;82523;11403;2;4
ezjqh4;33;2020515;223;82535;3443;27;8
ezjnpt;1;699000;130;82560;15733;0;0
ezjq0p;6;1038333;167;82731;14371;6;0
ezjqjs;24;1027000;194;82964;8257;7;3
ezjjzp;4;998750;328;83025;17518;1;0
ezjmun;82;2765780;210;83101;1497;58;15
ezjmce;3;1570000;347;83213;8022;0;0
ezjqky;4;782750;133;83316;11104;0;0
ezjqgv;2;649000;242;83330;19627;1;0
ezjqt6;37;1963077;331;83387;14099;11;10
ezjqhr;7;856714;152;83525;6459;10;4
ezjq1u;3;533000;129;83888;8154;3;0
ezjnp0;1;1300000;708;83920;16840;4;0
ezjq4h;4;3825000;709;84054;6969;3;0
ezjnx5;1;528000;103;84083;21146;0;0
ezjrju;5;2190000;508;84089;25310;0;0
ezjrnm;4;1760000;657;84301;26221;0;0
ezjq1w;3;1571667;350;84510;9219;6;0
ezjqmw;4;3395000;474;84512;12468;0;0
ezjq1y;21;2213333;433;84542;8990;7;0
ezjmcw;4;1975000;494;84604;7681;1;3
ezjmcn;2;891500;71;84667;9714;0;0
ezjq1x;3;2500000;736;84859;9676;2;0
ezjqh0;350;2101001;180;85062;2490;52;27
ezjq0j;5;1158580;306;85073;14251;1;0
ezjq4j;8;1853125;456;85116;7776;4;0
ezjqhq;6;2090333;236;85150;5791;28;4
ezjq0c;3;1995000;480;85154;10481;0;0
ezjnw7;14;1726786;662;85767;23802;5;0
ezjnwv;2;2100000;501;85788;22874;2;0
ezjq7d;8;745000;176;86085;7653;15;0
ezjnxj;1;1990000;520;86171;22370;0;0
ezjmct;3;3633333;646;86304;7859;1;6
ezjq14;11;1384560;288;86569;9875;7;0
ezjq15;3;2386667;658;86694;10112;3;0
ezjnnq;1;2250000;745;86825;20763;0;0
ezjjzz;2;3250000;931;86862;14377;0;0
ezjjzw;7;874429;271;87080;15327;0;0
ezjnnp;7;1470571;526;87210;21457;0;0
ezjq1t;14;1261429;189;87371;9142;1;0
ezjnp7;4;2157500;680;87530;16610;0;0
ezjnpd;2;1300000;390;87681;15923;0;0
ezjq06;11;1905455;451;87765;12913;1;0
ezjjzx;3;1516333;462;87817;15710;2;0
ezjqjh;37;2319851;402;87822;6910;9;0
ezjmcq;1;3700000;750;87882;9052;0;4
ezjmch;16;2968375;342;87915;9737;0;0
ezjmcs;7;1255000;293;88030;8064;6;3
ezjq0k;1;1150000;282;88113;13395;0;0
ezjmcr;1;2950000;590;88166;8552;2;0
ezjmcv;1;950000;223;88175;7031;0;0
ezjq5j;1;1250000;350;88267;5416;1;0
ezjrh1;4;1121250;438;88276;21803;0;0
ezjrh0;5;1060980;453;88427;21298;1;0
ezjnwt;2;1600000;488;88431;24067;0;0
ezjqmq;2;1365000;185;88548;11920;2;0
ezjq1q;1;410000;69;88574;10166;1;10
ezjnp8;1;1450000;490;88577;15533;2;0
ezjnwf;2;749000;261;88586;22341;1;0
ezjq08;1;3400000;823;88618;12027;0;0
ezjqh5;40;1403745;199;88639;3934;52;7
ezjnp9;12;2269375;615;88718;15806;0;0
ezjq0r;3;845267;243;88748;13939;2;0
ezjq7e;1;1850000;256;88775;8250;6;0
ezjmbx;6;2674583;602;88855;11927;0;0
ezjq4n;26;624832;109;88953;7843;2;0
ezjqju;12;1014833;211;88961;8788;4;0
ezjqjk;6;2136667;379;89015;7416;5;0
ezjq4r;2;2341500;535;89015;8022;1;0
ezjq4x;3;1931667;638;89015;7249;0;0
ezjq1p;8;1871160;514;89015;11398;6;0
ezjq0z;38;1765261;424;89015;12234;6;0
ezjq30;7;3450000;850;89015;11901;1;0
ezjq68;5;2109000;516;89015;7399;1;0
ezjq2b;5;2606000;641;89015;12609;1;0
ezjq1z;10;1495500;214;89015;9070;0;0
ezjq4q;10;1859200;331;89015;7657;1;0
ezjq4k;1;1450000;292;89015;6555;2;0
ezjq4m;1;3650000;754;89015;7011;3;0
ezjq0d;4;1393750;468;89015;12073;0;0
ezjq03;2;2100000;425;89015;12702;1;0
ezjmcm;12;2550000;558;89015;8966;0;0
ezjmcy;11;2693182;634;89015;6978;3;0
ezjnp2;13;1792231;534;89015;16468;3;0
ezjnwg;6;1533333;527;89015;22823;0;0
ezjmcz;9;1080778;183;89015;7085;2;0
ezjmck;12;2044583;524;89015;8665;0;0
ezjnp3;2;2206250;569;89015;16456;1;0
ezjnwd;3;2615000;595;89015;22717;3;0
ezjmb7;1;1800000;800;89015;12299;0;0
ezjq0f;1;4500000;977;89015;10766;0;0
ezjmbr;1;3895000;925;89015;12428;0;0
ezjq1b;1;635000;142;89015;7070;2;0
ezjq02;1;1999000;610;89015;12567;1;0
ezjmbk;1;1950000;850;89015;12480;0;0
ezjnwu;1;2100000;488;89015;22590;1;0
ezjq0e;1;1850000;360;89015;12219;0;0
ezjnp1;1;4650000;875;89015;16977;0;0
ezjqt3;5;2277400;376;89015;13643;14;0
ezjqmj;8;1848750;310;89015;11110;1;0
ezjqt1;53;1395170;211;89015;13131;8;4
ezjqmn;16;1665000;249;89015;11632;1;0
ezjrnw;11;1444091;506;89015;27017;0;0
ezjqt0;8;1460625;223;89015;12759;4;0
ezjqye;1;1050000;700;89015;21466;0;0
ezjrjf;21;2108952;590;89015;23901;0;0
ezjqt2;13;1261538;210;89015;13065;1;0
ezjrnt;5;1230100;511;89015;26344;1;0
ezjrne;1;1379000;700;89015;25739;1;0
ezjqym;15;1308667;387;89015;21922;2;0
ezjqmx;5;1643000;396;89015;12965;1;0
ezjrj9;13;2096538;627;89015;22961;0;0
ezjqmp;1;1390000;187;89015;12084;2;0
ezjrns;8;1299375;414;89015;25939;0;0
ezjqyn;3;686667;244;89015;21950;0;0
ezjrjg;7;2205714;488;89015;24538;0;0
ezjqmh;8;1523750;259;89015;10646;0;0
ezjrn4;5;2056000;516;89015;24267;0;0
ezjrjd;7;2172857;906;89015;23415;1;0
ezjqyq;3;1385000;344;89015;22106;1;0
ezjqyj;3;1565000;618;89015;21512;2;0
ezjrje;1;1400000;533;89015;23891;0;0
ezjrjc;6;1670667;563;89015;23459;0;0
ezjqyh;2;1370000;654;89015;21167;0;0
ezjqt9;4;3400000;646;89015;14182;2;0
ezjqmd;1;1055000;181;66096;10603;0;0
ezjtu2;2;610000;343;29513;32646;0;0
ezjwe4;5;152168;77;32160;29833;0;0
ezjtct;2;415000;202;32959;22369;0;0
